step,loss,lr
25,0.6946451377868652,9.433962264150944e-05
50,0.6680063152313233,0.00018867924528301889
75,0.6384722185134888,0.00019966329693949097
100,0.6491251230239868,0.00019846634367301968
125,0.5700059366226197,0.00019641328255765915
150,0.5726698112487792,0.00019352196377114066
175,0.5161553192138671,0.00018981752565631768
200,0.5272482395172119,0.00018533217615782918
225,0.47747652888298037,0.0001801049127926686
250,0.44844321489334105,0.00017418118358935195
275,0.4299092304706573,0.0001676124919436233
300,0.4404124212265015,0.0001604559488262475
325,0.4166055762767792,0.00015277377623618547
350,0.43064326882362364,0.00014463276621633775
375,0.41505715310573577,0.00013610370013540247
400,0.41583162903785703,0.000127260733284855
425,0.39330759525299075,0.00011818075014162243
450,0.3745393943786621,0.00010894269590207063
475,0.37126734375953674,9.962689009922918e-05
500,0.3820649755001068,9.031432827095444e-05
525,0.39736801505088803,8.108597775062199e-05
550,0.34217540562152865,7.202207370304093e-05
575,0.3417104458808899,6.320142152614994e-05
600,0.35059546291828153,5.470071168370818e-05
625,0.3596793395280838,4.659385292611479e-05
650,0.3398967707157135,3.89513296966153e-05
675,0.35005314111709596,3.183958930987612e-05
700,0.3226529109477997,2.532046423105472e-05
725,0.34044943153858187,1.945063447831452e-05
750,0.32429912567138675,1.4281134822883058e-05
775,0.36579530596733095,9.856911071263918e-06
800,0.334654580950737,6.216429287471626e-06
825,0.35836804151535034,3.3913413528758877e-06
850,0.3537658607959747,1.4062097714185206e-06
875,0.3538232970237732,2.7829411286287577e-07
