step,loss,lr
25,0.6940719079971314,9.433962264150944e-05
50,0.6592398428916931,0.00018867924528301889
75,0.6719731760025024,0.00019966329693949097
100,0.5892545402050018,0.00019846634367301968
125,0.6004577255249024,0.00019641328255765915
150,0.5595183312892914,0.00019352196377114066
175,0.49049461603164674,0.00018981752565631768
200,0.47154285192489626,0.00018533217615782918
225,0.6113035535812378,0.0001801049127926686
250,0.4820577895641327,0.00017418118358935195
275,0.5200866258144379,0.0001676124919436233
300,0.4704605734348297,0.0001604559488262475
325,0.46307897567749023,0.00015277377623618547
350,0.4522840476036072,0.00014463276621633775
375,0.43453661441802977,0.00013610370013540247
400,0.41551150679588317,0.000127260733284855
425,0.44006989121437073,0.00011818075014162243
450,0.38860841512680055,0.00010894269590207063
475,0.3850663411617279,9.962689009922918e-05
500,0.40279186487197877,9.031432827095444e-05
525,0.37786678433418275,8.108597775062199e-05
550,0.38720143020153047,7.202207370304093e-05
575,0.4071683478355408,6.320142152614994e-05
600,0.38453408479690554,5.470071168370818e-05
625,0.37850426256656644,4.659385292611479e-05
650,0.37348742187023165,3.89513296966153e-05
675,0.37515446305274963,3.183958930987612e-05
700,0.338532999753952,2.532046423105472e-05
725,0.3492174297571182,1.945063447831452e-05
750,0.3376065522432327,1.4281134822883058e-05
775,0.356323299407959,9.856911071263918e-06
800,0.37768023848533633,6.216429287471626e-06
825,0.3350391459465027,3.3913413528758877e-06
850,0.295342618227005,1.4062097714185206e-06
875,0.3506023585796356,2.7829411286287577e-07
