step,loss,lr
25,0.6994517040252686,9.433962264150944e-05
50,0.6648565626144409,0.00018867924528301889
75,0.6827785253524781,0.00019966329693949097
100,0.610954978466034,0.00019846634367301968
125,0.5816432404518127,0.00019641328255765915
150,0.5623778295516968,0.00019352196377114066
175,0.5252269315719604,0.00018981752565631768
200,0.5332194781303405,0.00018533217615782918
225,0.4833678019046783,0.0001801049127926686
250,0.5495038425922394,0.00017418118358935195
275,0.5232782816886902,0.0001676124919436233
300,0.4562583661079407,0.0001604559488262475
325,0.42677901923656464,0.00015277377623618547
350,0.43982127189636233,0.00014463276621633775
375,0.4278868281841278,0.00013610370013540247
400,0.41007611870765687,0.000127260733284855
425,0.3931223273277283,0.00011818075014162243
450,0.41901930689811706,0.00010894269590207063
475,0.4118513506650925,9.962689009922918e-05
500,0.45073962211608887,9.031432827095444e-05
525,0.36105103433132174,8.108597775062199e-05
550,0.3879028046131134,7.202207370304093e-05
575,0.38522673666477203,6.320142152614994e-05
600,0.3675124490261078,5.470071168370818e-05
625,0.37671455621719363,4.659385292611479e-05
650,0.3647685247659683,3.89513296966153e-05
675,0.34481175303459166,3.183958930987612e-05
700,0.34273446261882784,2.532046423105472e-05
725,0.3544305396080017,1.945063447831452e-05
750,0.32134519398212436,1.4281134822883058e-05
775,0.3736708724498749,9.856911071263918e-06
800,0.3604591327905655,6.216429287471626e-06
825,0.3703435122966766,3.3913413528758877e-06
850,0.34295877933502195,1.4062097714185206e-06
875,0.30610230684280393,2.7829411286287577e-07
