step,loss,lr
25,0.6978512573242187,5.6179775280898885e-05
50,0.665297520160675,0.00011235955056179777
75,0.556007719039917,0.00016853932584269662
100,0.40538520574569703,0.00019996966682847775
125,0.3708710181713104,0.0001996752686479582
150,0.3268403834104538,0.00019906859460363307
175,0.34754540741443635,0.0001981515453641819
200,0.32522980570793153,0.000196926993982743
225,0.3361968618631363,0.0001953987768958326
250,0.27121052145957947,0.00019357168190404936
275,0.3077158933877945,0.00019145143317221927
300,0.26043076753616334,0.00018904467329597502
325,0.26879247665405276,0.00018635894249095412
350,0.2731533992290497,0.00018340265496981394
375,0.2875066936016083,0.00018018507258107364
400,0.28262154638767245,0.00017671627579237014
425,0.25321111977100375,0.00017300713210903604
450,0.2772828483581543,0.00016906926202694158
475,0.25956416487693784,0.00016491500262626847
500,0.28732679098844527,0.0001605573689202734
525,0.24821447372436523,0.0001560100130801333
550,0.2477898871898651,0.00015128718166361794
575,0.2468840080499649,0.0001464036709815896
600,0.23776951253414155,0.0001413747807421637
625,0.25537352621555326,0.00013621626611775965
650,0.22528763830661774,0.00013094428838521311
675,0.2552907758951187,0.00012557536429359055
700,0.23843612194061278,0.0001201263143183335
725,0.24853151500225068,0.00011461420996384848
750,0.20883462578058243,0.00010905632027964023
775,0.21333491563796997,0.00010347005775754968
800,0.1906315043568611,9.787292377959659e-05
825,0.22419255703687668,9.228245378733537e-05
850,0.24448899149894715,8.671616234450487e-05
875,0.21121336966753007,8.119148826508642e-05
900,0.20362216889858245,7.57257399786815e-05
925,0.17076321005821227,7.033604130437421e-05
950,0.174419886469841,6.503927780296605e-05
975,0.20895637661218644,5.9852043875658195e-05
1000,0.20690762221813203,5.479059077491666e-05
1025,0.21621702313423158,4.987077569039922e-05
1050,0.19905497431755065,4.5108012069454644e-05
1075,0.20701135843992233,4.051722132783644e-05
1100,0.23290313839912413,3.611278610191804e-05
1125,0.18845742523670198,3.190850518886751e-05
1150,0.1831018418073654,2.791755031595096e-05
1175,0.19440913259983061,2.415242487440328e-05
1200,0.20915820300579072,2.0624924747150533e-05
1225,0.2102278620004654,1.734610135310788e-05
1250,0.19536734223365784,1.4326227023832928e-05
1275,0.213886781334877,1.1574762821006768e-05
1300,0.18256107866764068,9.100328895568743e-06
1325,0.19355742990970612,6.910677481367622e-06
1350,0.19741758704185486,5.012668607938087e-06
1375,0.18813794642686843,3.412248608492974e-06
1400,0.19108306676149367,2.1144314904642195e-06
1425,0.19994012832641603,1.1232832269571725e-06
1450,0.2316929206252098,4.419090183324315e-07
1475,0.18868146777153016,7.24435638233989e-08
